"age","sex","race_eth","region","ever_smoker","poverty","employed","repstrain",".weight",".pseudo_stratum",".pseudo_psu"
"45-64","Male","Non-Hispanic White","South",TRUE,FALSE,FALSE,FALSE,6079.627,130,1
"18-24","Male","Non-Hispanic Black","South",FALSE,FALSE,TRUE,FALSE,19352.255,102,3
"45-64","Female","Hispanic","South",FALSE,FALSE,TRUE,TRUE,13945.761,102,3
"25-44","Male","Non-Hispanic White","South",FALSE,TRUE,FALSE,FALSE,5853.433,102,3
"45-64","Female","Non-Hispanic White","South",TRUE,TRUE,FALSE,FALSE,5114.4,102,3
"25-44","Female","Non-Hispanic White","South",TRUE,FALSE,TRUE,FALSE,6311.948,102,3
"45-64","Male","Non-Hispanic White","South",FALSE,FALSE,TRUE,FALSE,6472.418,149,4
"45-64","Male","Non-Hispanic White","South",TRUE,FALSE,TRUE,TRUE,4284.554,149,4
"25-44","Female","Non-Hispanic White","South",FALSE,FALSE,TRUE,FALSE,10639.51,149,4
"65+","Female","Non-Hispanic Other","South",FALSE,FALSE,FALSE,FALSE,7117.834,149,4
"45-64","Male","Non-Hispanic Black","West",FALSE,TRUE,FALSE,FALSE,2764.795,119,1
"25-44","Female","Non-Hispanic Black","West",NA,TRUE,NA,NA,6810.93,119,1
"45-64","Female","Non-Hispanic White","West",FALSE,TRUE,FALSE,FALSE,4123.981,151,12
"45-64","Male","Hispanic","West",FALSE,FALSE,TRUE,FALSE,7678.571,151,12
"65+","Male","Hispanic","West",FALSE,FALSE,FALSE,FALSE,7267.53,151,7
"45-64","Male","Non-Hispanic White","West",FALSE,FALSE,FALSE,TRUE,9329.344,151,7
"65+","Female","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,3333.011,151,7
"45-64","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,TRUE,16624.643,151,7
"25-44","Female","Hispanic","West",FALSE,FALSE,FALSE,FALSE,5955.302,113,4
"65+","Male","Non-Hispanic Asian","West",FALSE,FALSE,FALSE,FALSE,9002.285,113,4
"45-64","Female","Non-Hispanic Asian","West",FALSE,FALSE,TRUE,FALSE,8146.557,113,4
"65+","Male","Non-Hispanic White","West",FALSE,FALSE,FALSE,FALSE,2539.592,143,15
"45-64","Female","Non-Hispanic White","West",FALSE,FALSE,FALSE,FALSE,7080.115,143,15
"25-44","Female","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,8912.554,143,15
"45-64","Male","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,9443.965,143,15
"45-64","Male","Non-Hispanic White","West",FALSE,FALSE,FALSE,FALSE,8078.524,143,15
"45-64","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,7074.159,151,7
"45-64","Male","Hispanic","West",TRUE,FALSE,TRUE,FALSE,7425.871,151,7
"25-44","Female","Hispanic","West",FALSE,FALSE,FALSE,FALSE,9749.994,151,7
"45-64","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,6824.334,151,12
"25-44","Male","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,8224.752,151,12
"45-64","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,4245.525,151,12
"25-44","Male","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,10239.423,151,12
"45-64","Male","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,9263.006,113,4
"65+","Male","Non-Hispanic Asian","West",FALSE,FALSE,FALSE,TRUE,7120.426,151,12
"65+","Female","Non-Hispanic Black","West",FALSE,TRUE,FALSE,FALSE,4467.273,113,10
"18-24","Male","Hispanic","West",FALSE,TRUE,TRUE,FALSE,30472.412,119,9
"25-44","Female","Non-Hispanic White","West",TRUE,FALSE,TRUE,FALSE,13438.018,119,9
"45-64","Male","Hispanic","West",FALSE,FALSE,FALSE,FALSE,4313.933,119,9
"45-64","Male","Non-Hispanic White","West",TRUE,FALSE,TRUE,TRUE,10624.428,119,9
"25-44","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,16354.73,119,9
"45-64","Female","Hispanic","West",FALSE,FALSE,TRUE,FALSE,16937.462,119,9
"25-44","Female","Non-Hispanic White","West",TRUE,FALSE,TRUE,FALSE,12525.747,113,10
"25-44","Female","Hispanic","West",FALSE,FALSE,TRUE,FALSE,5363.574,113,10
"25-44","Male","Hispanic","West",FALSE,FALSE,FALSE,FALSE,10397.979,113,10
"65+","Male","Hispanic","West",FALSE,FALSE,TRUE,FALSE,3512.884,113,10
"25-44","Female","Hispanic","West",FALSE,FALSE,TRUE,FALSE,11921.19,119,9
"45-64","Female","Hispanic","West",FALSE,FALSE,TRUE,FALSE,30693.031,119,9
"25-44","Female","Hispanic","West",FALSE,FALSE,FALSE,FALSE,4302.887,119,9
"25-44","Female","Hispanic","West",FALSE,TRUE,TRUE,FALSE,9168.883,151,1
"45-64","Female","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,5189.374,151,1
"45-64","Male","Hispanic","West",TRUE,FALSE,TRUE,FALSE,4631.375,151,1
"45-64","Male","Non-Hispanic White","West",NA,FALSE,NA,NA,5980.032,151,1
"45-64","Female","Hispanic","West",FALSE,FALSE,NA,FALSE,17998.013,151,1
"25-44","Male","Non-Hispanic White","West",TRUE,FALSE,TRUE,FALSE,6328.023,151,1
"65+","Male","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,3512.438,123,12
"45-64","Female","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,10644.6,123,12
"25-44","Female","Non-Hispanic White","West",FALSE,FALSE,FALSE,FALSE,17346.104,123,12
"25-44","Male","Non-Hispanic White","West",TRUE,FALSE,TRUE,FALSE,3599.999,113,18
"25-44","Female","Non-Hispanic White","West",FALSE,TRUE,FALSE,FALSE,6455.105,113,18
"25-44","Female","Non-Hispanic White","West",NA,FALSE,NA,NA,4615.224,151,13
"45-64","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,TRUE,3163.685,113,3
"65+","Female","Non-Hispanic White","West",TRUE,FALSE,TRUE,TRUE,5720.703,113,3
"18-24","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,4277.373,113,3
"65+","Male","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,7072.339,151,5
"65+","Female","Non-Hispanic White","West",NA,FALSE,NA,NA,13157.518,113,9
"25-44","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,14823.199,113,9
"45-64","Male","Non-Hispanic White","West",TRUE,FALSE,TRUE,TRUE,7161.138,113,9
"45-64","Male","Non-Hispanic Other","West",TRUE,FALSE,FALSE,FALSE,3288.605,151,10
"25-44","Female","Non-Hispanic Black","West",NA,FALSE,NA,NA,4797.433,151,10
"65+","Male","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,3661.97,113,6
"65+","Male","Non-Hispanic White","West",NA,FALSE,NA,NA,8885.18,113,6
"25-44","Female","Hispanic","West",FALSE,FALSE,TRUE,FALSE,8102.975,119,6
"45-64","Male","Hispanic","West",TRUE,TRUE,TRUE,FALSE,9017.624,119,6
"65+","Female","Non-Hispanic Asian","West",FALSE,FALSE,FALSE,FALSE,6847.575,151,13
"65+","Female","Non-Hispanic Black","West",FALSE,TRUE,FALSE,FALSE,2257.905,151,13
"45-64","Female","Hispanic","West",FALSE,TRUE,TRUE,FALSE,4946.55,129,6
"65+","Female","Non-Hispanic White","West",NA,FALSE,NA,NA,3876.932,151,2
"65+","Male","Non-Hispanic White","West",NA,FALSE,NA,NA,6190.475,151,2
"65+","Male","Non-Hispanic Asian","West",FALSE,TRUE,FALSE,FALSE,4852.934,129,8
"25-44","Male","Non-Hispanic Asian","West",FALSE,FALSE,TRUE,FALSE,2400.112,129,8
"65+","Female","Non-Hispanic Asian","West",FALSE,TRUE,FALSE,TRUE,5874.536,129,8
"65+","Male","Non-Hispanic Black","West",TRUE,FALSE,FALSE,FALSE,2057.576,119,3
"65+","Female","Hispanic","West",FALSE,FALSE,TRUE,FALSE,6542.442,151,9
"45-64","Male","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,3947.341,151,9
"25-44","Male","Non-Hispanic White","West",NA,FALSE,NA,NA,9089.126,129,13
"25-44","Female","Hispanic","West",FALSE,FALSE,TRUE,FALSE,18674.038,129,13
"45-64","Female","Non-Hispanic White","West",FALSE,FALSE,FALSE,TRUE,11527.431,129,13
"65+","Male","Non-Hispanic White","West",FALSE,FALSE,FALSE,FALSE,6544.395,151,9
"65+","Male","Non-Hispanic White","West",FALSE,FALSE,FALSE,FALSE,3043.114,151,9
"65+","Male","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,2446.6,151,5
"25-44","Female","Hispanic","West",FALSE,FALSE,FALSE,FALSE,6573.988,151,5
"25-44","Female","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,3993.645,151,5
"45-64","Female","Non-Hispanic Asian","West",FALSE,FALSE,TRUE,FALSE,4018.526,113,9
"45-64","Female","Hispanic","West",TRUE,TRUE,FALSE,FALSE,7414.724,113,9
"65+","Female","Non-Hispanic Asian","West",FALSE,FALSE,FALSE,FALSE,9769.753,129,5
"25-44","Male","Non-Hispanic Asian","West",FALSE,FALSE,TRUE,TRUE,3438.595,129,5
"45-64","Female","Non-Hispanic Asian","West",NA,FALSE,NA,NA,18514.131,151,10
"45-64","Male","Hispanic","West",TRUE,FALSE,TRUE,FALSE,14098.569,113,6
"65+","Female","Hispanic","West",FALSE,FALSE,FALSE,FALSE,3867.506,113,6
"18-24","Female","Hispanic","West",FALSE,FALSE,TRUE,FALSE,19884.169,113,6
"18-24","Male","Hispanic","West",FALSE,FALSE,FALSE,FALSE,15290.722,119,6
"65+","Female","Hispanic","West",FALSE,FALSE,FALSE,FALSE,3502.444,151,13
"45-64","Male","Hispanic","West",TRUE,TRUE,TRUE,FALSE,13555.995,119,13
"25-44","Female","Hispanic","West",FALSE,FALSE,TRUE,FALSE,4125.554,119,13
"65+","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,TRUE,3250.197,129,13
"25-44","Female","Hispanic","West",FALSE,TRUE,TRUE,FALSE,5349.601,113,14
"25-44","Female","Non-Hispanic Black","West",FALSE,FALSE,FALSE,FALSE,4739.084,113,14
"45-64","Male","Hispanic","West",FALSE,FALSE,FALSE,FALSE,12413.938,113,14
"25-44","Male","Hispanic","West",FALSE,FALSE,TRUE,FALSE,8502.44,113,14
"45-64","Female","Hispanic","West",FALSE,FALSE,TRUE,FALSE,2722.014,113,14
"18-24","Female","Hispanic","West",NA,TRUE,NA,NA,10430.149,129,6
"45-64","Female","Non-Hispanic White","West",NA,FALSE,NA,NA,5855.334,151,2
"18-24","Male","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,6230.005,151,2
"25-44","Female","Hispanic","West",FALSE,TRUE,FALSE,FALSE,3446.835,119,36
"25-44","Male","Hispanic","West",TRUE,FALSE,FALSE,FALSE,3333.081,119,36
"25-44","Female","Hispanic","West",FALSE,TRUE,TRUE,TRUE,2711.883,129,8
"65+","Male","Non-Hispanic Asian","West",TRUE,FALSE,FALSE,FALSE,9626.275,129,8
"25-44","Male","Hispanic","West",FALSE,FALSE,TRUE,FALSE,3033.495,129,8
"65+","Male","Non-Hispanic White","West",FALSE,FALSE,FALSE,FALSE,6574.14,113,3
"65+","Female","Non-Hispanic White","West",FALSE,FALSE,FALSE,FALSE,8087.602,113,3
"65+","Male","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,6190.475,113,3
"25-44","Male","Non-Hispanic White","West",NA,FALSE,NA,FALSE,10319.637,151,8
"25-44","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,4812.763,151,8
"25-44","Male","Non-Hispanic White","West",NA,FALSE,NA,NA,5193.65,151,8
"25-44","Female","Non-Hispanic Asian","West",FALSE,TRUE,FALSE,FALSE,2768.982,119,36
"65+","Male","Non-Hispanic White","West",FALSE,FALSE,FALSE,FALSE,5386.774,119,10
"25-44","Female","Hispanic","West",FALSE,FALSE,TRUE,FALSE,13459.622,113,1
"25-44","Female","Non-Hispanic Asian","West",FALSE,FALSE,TRUE,FALSE,4560.696,113,14
"25-44","Female","Non-Hispanic Asian","West",FALSE,FALSE,FALSE,FALSE,6535.143,113,14
"25-44","Female","Hispanic","West",FALSE,FALSE,TRUE,FALSE,12115.507,151,8
"65+","Male","Hispanic","West",TRUE,FALSE,NA,FALSE,3742.646,129,5
"45-64","Male","Non-Hispanic Asian","West",FALSE,FALSE,TRUE,FALSE,9452.185,129,5
"25-44","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,7070.744,143,12
"65+","Male","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,3336.441,143,12
"65+","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,6128.43,143,12
"25-44","Female","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,9638.406,143,12
"65+","Female","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,7010.808,143,13
"45-64","Female","Non-Hispanic White","West",TRUE,FALSE,TRUE,FALSE,9952.639,143,13
"45-64","Female","Non-Hispanic White","West",TRUE,FALSE,TRUE,FALSE,2815.752,143,13
"65+","Male","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,7888.492,143,13
"18-24","Female","Non-Hispanic Asian","West",FALSE,FALSE,TRUE,FALSE,6406.511,129,6
"25-44","Female","Non-Hispanic Asian","West",FALSE,FALSE,TRUE,FALSE,5666.494,129,6
"18-24","Male","Non-Hispanic Asian","West",FALSE,FALSE,FALSE,FALSE,7890.865,119,13
"25-44","Female","Non-Hispanic Asian","West",FALSE,FALSE,TRUE,FALSE,2874.944,119,13
"25-44","Female","Non-Hispanic Other","West",FALSE,FALSE,TRUE,FALSE,4648.896,151,5
"25-44","Female","Non-Hispanic White","West",TRUE,FALSE,TRUE,TRUE,12851.504,151,5
"65+","Female","Non-Hispanic White","West",FALSE,FALSE,FALSE,FALSE,6616.47,119,10
"65+","Male","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,5585.29,151,10
"45-64","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,TRUE,3682.593,151,10
"25-44","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,4119.154,151,10
"65+","Female","Non-Hispanic White","West",TRUE,FALSE,FALSE,TRUE,5116.083,129,8
"45-64","Female","Hispanic","West",FALSE,FALSE,FALSE,FALSE,15499.925,113,6
"25-44","Female","Hispanic","West",FALSE,FALSE,FALSE,FALSE,16317.071,113,6
"45-64","Female","Non-Hispanic Other","West",FALSE,FALSE,TRUE,FALSE,6176.258,113,1
"25-44","Male","Hispanic","West",FALSE,FALSE,TRUE,FALSE,8803.602,113,1
"65+","Male","Non-Hispanic White","West",TRUE,FALSE,TRUE,FALSE,2139.371,113,1
"25-44","Female","Hispanic","West",FALSE,FALSE,TRUE,FALSE,10042.239,151,9
"65+","Male","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,2657.435,151,9
"45-64","Male","Hispanic","West",FALSE,FALSE,TRUE,FALSE,6228.937,113,14
"25-44","Female","Hispanic","West",FALSE,FALSE,FALSE,FALSE,20523.967,113,14
"45-64","Female","Non-Hispanic Asian","West",TRUE,FALSE,TRUE,FALSE,16212.352,129,5
"65+","Male","Non-Hispanic White","West",FALSE,FALSE,FALSE,FALSE,3633.583,129,5
"65+","Female","Non-Hispanic White","West",FALSE,FALSE,FALSE,FALSE,3121.088,129,5
"45-64","Male","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,4258.311,129,4
"65+","Female","Non-Hispanic White","West",TRUE,FALSE,FALSE,TRUE,3724.692,129,4
"25-44","Male","Non-Hispanic Other","West",FALSE,FALSE,TRUE,FALSE,3696.476,129,4
"65+","Female","Non-Hispanic White","West",FALSE,FALSE,FALSE,TRUE,3718.771,129,4
"65+","Male","Non-Hispanic White","West",TRUE,FALSE,TRUE,FALSE,9551.602,113,5
"25-44","Female","Hispanic","West",FALSE,TRUE,FALSE,TRUE,7002.46,113,5
"45-64","Male","Non-Hispanic White","West",FALSE,FALSE,TRUE,TRUE,25542.855,129,7
"65+","Male","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,9490.639,151,15
"25-44","Male","Non-Hispanic White","West",FALSE,FALSE,FALSE,FALSE,30708.78,151,15
"45-64","Male","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,10916.917,151,15
"45-64","Male","Hispanic","West",TRUE,FALSE,TRUE,FALSE,10643.458,113,5
"25-44","Male","Hispanic","West",FALSE,FALSE,TRUE,FALSE,5676.656,113,5
"25-44","Male","Hispanic","West",FALSE,FALSE,TRUE,FALSE,6875.371,113,5
"45-64","Female","Non-Hispanic White","West",FALSE,FALSE,TRUE,FALSE,3660.381,129,7
"18-24","Male","Hispanic","West",FALSE,FALSE,TRUE,FALSE,11740.955,129,1
"65+","Female","Non-Hispanic White","West",TRUE,FALSE,FALSE,FALSE,4218.949,129,1
"45-64","Female","Non-Hispanic Black","West",FALSE,FALSE,TRUE,FALSE,3617.117,119,5
